Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level,Job Link
Programista Linux (C/C++),Warszawa,17 000,23 000,"Backend, Python, C++, C",Superdevs,Senior,https://nofluffjobs.com/pl/job/programista-linux-c-c--superdevs-warszawa
"Middle DevOps Engineer, Kubernetes (Kraków)",Kraków,Not specified,Not specified,"DevOps, Python, K8s, Terraform",LotusFlare,Mid,https://nofluffjobs.com/pl/job/middle-devops-engineer-kubernetes-krakow-lotusflare-krakow
CI/CD Engineer,Zdalnie,15 000,22 000,"Inne, Python, CI/CD, Linux",XTB,Mid,https://nofluffjobs.com/pl/job/ci-cd-engineer-xtb-remote-3
Remote Lead Fullstack Developer,Zdalnie,25 000,35 000,"Fullstack, Python, JavaScript, React",Flyps,Senior,https://nofluffjobs.com/pl/job/remote-lead-fullstack-developer-flyps
DevOps/System Engineer,Łódź,Not specified,Not specified,"DevOps, Python, Docker, Docker Compose",ELESTER Sp z o.o.,Senior,https://nofluffjobs.com/pl/job/devops-system-engineer-elester-lodz
Software Engineer,Kraków,22 000,22 000,"Fullstack, Python, .NET, Cloud",Medius,Mid,https://nofluffjobs.com/pl/job/software-engineer-medius-krakow
Senior Data Engineer,Kraków,20 000,20 000,"Data, Python, Databricks, ETL",Medius,Senior,https://nofluffjobs.com/pl/job/senior-data-engineer-medius-krakow
Machine Learning Engineer (100% remote),Zdalnie,16 800,25 200,"AI/ML, Python, Machine learning, Big data",Devire,Mid,https://nofluffjobs.com/pl/job/machine-learning-engineer-100-remote-devire
Data Engineer,Kraków,Not specified,Not specified,"Data, Python, SQL, Databricks",ALDI Tech Hub,Mid,https://nofluffjobs.com/pl/job/data-engineer-aldi-tech-hub-krakow
Senior AI Engineer,Zdalnie,26 880,31 920,"AI/ML, Python, GPT4 API, Claude",Devire,Senior,https://nofluffjobs.com/pl/job/senior-ai-engineer-devire-remote
Senior Embedded Developer,Warszawa,17 000,22 000,"Embedded, Python, C++, C",PYSENSE Sp. z o. o.,Senior,https://nofluffjobs.com/pl/job/senior-embedded-developer-pysense-warszawa
Lead DevOps AWS Engineer,Zdalnie,30 751,32 801,"DevOps, Python, AWS, Kubernates",Appex Team,Senior,https://nofluffjobs.com/pl/job/lead-devops-aws-engineer-appex-team-remote
Manual QA Engineer - Remote,Zdalnie,Not specified,Not specified,"Testing, Python, Linux, Shell",Codenotary,Senior,https://nofluffjobs.com/pl/job/manual-qa-engineer-remote-codenotary
Engineering Team Lead - Remote,Zdalnie,Not specified,Not specified,"Backend, Python, Golang, Communication skills",Codenotary,Senior,https://nofluffjobs.com/pl/job/engineering-team-lead-remote-codenotary
Senior Fullstack Engineer - Remote,Zdalnie,Not specified,Not specified,"Fullstack, Python, JavaScript, React",Codenotary,Senior,https://nofluffjobs.com/pl/job/senior-fullstack-engineer-remote-codenotary
AWS Backend Developer,Zdalnie,24 109,34 441,"Backend, Python, Node.js, AWS",Unisystech Consulting Inc.,Senior,https://nofluffjobs.com/pl/job/aws-backend-developer-unisystech-consulting-remote
DevOps Engineer,Zdalnie,7 000,12 000,"DevOps, Python, JavaScript, PHP",Sopra Steria Poland,Mid,https://nofluffjobs.com/pl/job/devops-engineer-sopra-steria-poland-remote-2
Senior DevOps Engineer,Zdalnie,25 000,32 000,"DevOps, Python, AWS, K8s",Zowie,Senior,https://nofluffjobs.com/pl/job/senior-devops-engineer-zowie-remote
Konstruktor Automatyk-Programista,Kielce,Not specified,Not specified,"Automatyka, Python, PLC, Prawo jazdy kat. B",ISKRA Zakład Maszyn i Łożysk Specjalnych Sp. z o.o.,Mid,https://nofluffjobs.com/pl/job/konstruktor-automatyk-programista-iskra-zaklad-maszyn-i-lozysk-specjalnych-kielce
CloudOps Software Engineer,Kraków,15 000,19 000,"DevOps, Python, Azure, AWS",Motorola Solutions Systems Polska,Senior,https://nofluffjobs.com/pl/job/cloudops-software-engineer-motorola-solutions-systems-polska-krakow
Data analyst CRM,Warszawa,Not specified,Not specified,"Data, Python, polski",Santander Bank Polska,Senior,https://nofluffjobs.com/pl/job/data-analyst-crm-santander-bank-polska-warszawa
Embedded Software Engineer with C++,Kraków,12 000,18 000,"Embedded, Python, C++, OpenCV",Motorola Solutions Systems Polska,Senior,https://nofluffjobs.com/pl/job/embedded-software-engineer-with-c--motorola-solutions-systems-polska-krakow
"Full-Stack / Front-End Developer (TypeScript, JavaScript, Node.js)",Kraków,9 000,16 000,"Fullstack, Python, Angular, JavaScript",Motorola Solutions Systems Polska,Mid,https://nofluffjobs.com/pl/job/full-stack-front-end-developer-typescript-javascript-node-js-motorola-solutions-systems-polska-krakow
Data Integration Manager,Zdalnie,Not specified,Not specified,"Data, Python, SQL, ukraiński",Competera,Mid,https://nofluffjobs.com/pl/job/data-integration-manager-competera-remote-3
DevOps/SCM Engineer,Kraków,12 000,19 000,"DevOps, Python, Jenkins, Atlassian",Motorola Solutions Systems Polska,Senior,https://nofluffjobs.com/pl/job/devops-scm-engineer-motorola-solutions-systems-polska-krakow
Senior Full-Stack/Back-end Developer C++,Kraków,18 000,23 000,"Fullstack, Python, C++, JavaScript",Motorola Solutions Systems Polska,Senior,https://nofluffjobs.com/pl/job/senior-full-stack-back-end-developer-c--motorola-solutions-systems-polska-krakow-1
Performance Tester,Zdalnie,16 800,23 100,"Testing, Python, JMeter, Locust",Sii Polska,Senior,https://nofluffjobs.com/pl/job/performance-tester-sii-polska-remote-1
Fullstack Developer (Java/Angular),Zdalnie,20 160,26 880,"Fullstack, Python, Angular, Team work",Knowit,Mid,https://nofluffjobs.com/pl/job/fullstack-developer-java-angular-knowit-remote
Senior Business Analyst,Kraków,Not specified,Not specified,"Business Analysis, Python, ETL, SAS",HSBC Technology Poland,Senior,https://nofluffjobs.com/pl/job/senior-business-analyst-hsbc-technology-poland-krakow-2
DevOps Engineer (Canada PST),Zdalnie,22 680,28 560,"DevOps, Python, Ansible, AWS",AVENGA,Senior,https://nofluffjobs.com/pl/job/devops-engineer-canada-pst-avenga-remote
Senior Embedded Engineer,Wrocław,18 480,24 360,"Embedded, Python, C++, Embedded system",Clone Incorporated,Senior,https://nofluffjobs.com/pl/job/senior-embedded-engineer-clone-incorporated-wroclaw-2
Medior/Senior Mendix Low-Code fejlesztő,Zdalnie,8 740,10 283,"Fullstack, Python, Mendix, Angular",Stylers Kft.,Mid,https://nofluffjobs.com/pl/job/medior-senior-mendix-low-code-fejleszto-stylers-kft--remote
Senior Product Analyst,Zdalnie,20 501,24 601,"Data, Python, SQL, Communication skills",N-iX,Senior,https://nofluffjobs.com/pl/job/senior-product-analyst-n-ix-remote
Senior Cloud Data Engineer,Warszawa,Not specified,Not specified,"Data, Python, SQL, Git",SEB (Skandinaviska Enskilda Banken),Senior,https://nofluffjobs.com/pl/job/senior-cloud-data-engineer-seb-skandinaviska-enskilda-banken-warszawa-1
Full-Stack Developer,Warsaw,12 000,17 000,"Fullstack, Python, JavaScript, Web applications",Engager.app,Mid,https://nofluffjobs.com/pl/job/full-stack-developer-engager-app-warsaw
Senior Engineering Manager,Warszawa,Not specified,Not specified,"Architecture, Python, Big data, J2EE",VISA,Senior,https://nofluffjobs.com/pl/job/senior-engineering-manager-visa-warszawa
Security Engineer,Kraków,14 000,23 000,"Security, Python, Enterprise Security, SIEM",Motorola Solutions Systems Polska,Mid,https://nofluffjobs.com/pl/job/security-engineer-motorola-solutions-systems-polska-krakow-1
Senior Cloud Engineer,Gdańsk,26 880,30 240,"DevOps, Python, AWS, Terraform",Devire,Senior,https://nofluffjobs.com/pl/job/senior-cloud-engineer-devire-gdansk
Analityk/-czka Biznesowo-Systemowy/-a - Partner and Payment Squad.,Warszawa,Not specified,Not specified,"Business Analysis, Python, MSSQL, Oracle",T-Mobile Polska,Mid,https://nofluffjobs.com/pl/job/analityk-czka-biznesowo-systemowy-a-partner-and-payment-squad--t-mobile-polska-warszawa
Data Engineer (Investment Banking Tech),Kraków,10 000,16 000,"Data, Python, Functional programming languages, Python / R",HSBC Technology Poland,Mid,https://nofluffjobs.com/pl/job/data-engineer-investment-banking-tech-hsbc-technology-poland-krakow
"AVP, Senior Analyst - Global Finance Analytics",Kraków,Not specified,Not specified,"Business Analysis, Python, Degree, Credit Risk Modelling",HSBC Technology Poland,Senior,https://nofluffjobs.com/pl/job/avp-senior-analyst-global-finance-analytics-hsbc-technology-poland-krakow
